# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-177.7708801453596,0.0,0.23303577062651426,4.291186701987898,0.0,0.0
 0.0974945810034969,0.023762983312618547,0.24373645250874226,2.5000000000000004,-177.7708801453596,0.0,0.23303577062651426,4.291186701987898,0.0,0.0
 0.13728801239160654,0.04711999586609479,0.5869564834877589,8.625042350119408,-177.4563074557016,0.0,0.24352975473699945,4.106274410204833,7.9051410920052065,198.65442150252161
 0.16742027597306658,0.07007387201724445,0.7617707209116829,5.8015633957046875,-177.13321385311698,0.0,0.2546299298737433,3.9272680964717854,10.722513484960142,93.50019076191893
 0.19248632895409237,0.09262746708555766,0.8997665123178973,5.505286034090523,-176.8012541268075,0.0,0.2663784793007205,3.7540570192649763,13.243398414613043,100.56968009926133
 0.2142742714525942,0.11478365851635006,1.0169015010167155,5.376138141858627,-176.4600651355373,0.0,0.27882096113199595,3.5865309262978706,15.659532390159196,110.89316835273867
 0.23370523924101064,0.13654534712174504,1.1199487767340124,5.303249783509363,-176.1092647166752,0.0,0.29200660584165516,3.4245800608437764,18.05367713445636,123.21284098491518
 0.2513288351188035,0.15791545840543675,1.2125851858995336,5.256385235333867,-175.74845052382602,0.0,0.30598864167702805,3.268095163661346,20.473358294819523,137.29781238414304
 0.2675047244276015,0.1788969439777175,1.2970838988660127,5.223744509708083,-175.37719878847585,0.0,0.320824649801783,3.116967479331267,22.950931986672053,153.1646047123351
 0.28248382825765617,0.19949278306775242,1.3749713817131435,5.1997425033435,-174.995063001237,0.0,0.3365769523005784,2.971088760429903,25.511258321884565,170.92653634427532
 0.29644964775874677,0.21970598414071255,1.4473336900410074,5.1813864787679025,-174.60157250800026,0.0,0.3533130356088192,2.8303512727087123,28.175252673572952,190.75102262923804
 0.30954132947183266,0.2395395866279741,1.514977443076447,5.166926183961977,-174.19623101640775,0.0,0.3711060123804999,2.6946478004637844,30.961758808064275,212.8455454050678
 0.32186746513390607,0.25899666277931555,1.578521986514347,5.155268867713471,-173.77851500788685,0.0,0.39003512465296686,2.5638716535844006,33.88864279712508,237.45349469636326
 0.33351480905456005,0.27808031964674906,1.6384556854711654,5.145696681158299,-173.3478720508765,0.0,0.41018629183812305,2.437916673223791,36.973490260444514,264.85415768046033
 0.3445540312987,0.2967937012104637,1.695172100883145,5.137718415089161,-172.9037190107174,0.0,0.4316527062505871,2.3166772396405886,40.23408808486161,295.36481396123264
 0.35504365402479005,0.31513999065818693,1.7489942133087262,5.1309864835952,-172.44544015239697,0.0,0.4545354797244628,2.200048279193068,43.688783694822924,329.34412420464946
 0.36503282747184174,0.3331224128302183,1.8001912037415775,5.12524792008313,-171.97238513253532,0.0,0.4789443437373534,2.0879252737315683,47.35677304724947,367.19648245863107
 0.37456333875240233,0.3507442368433671,1.8489904155606052,5.120314155502188,-171.48386687809614,0.0,0.5049984063917932,1.9802042686530175,51.25834701393497,409.37719413265347
 0.383671098159924,0.36800877890810496,1.8955860922808183,5.116041677795302,-170.97915934993608,0.0,0.5328269677953439,1.876781883127385,55.415114253372415,456.39844592343593
 0.39238726042231975,0.3849194053543332,1.9401458964556,5.112319256265643,-170.4574951909514,0.0,0.5625703956449829,1.7775553206163777,59.85021197176568,508.83606624989926
 0.4007390851326535,0.40147953588239,1.982815863887428,5.109059266896771,-169.91806326028737,0.0,0.5943810614228273,1.6824223800236897,64.58851201661106,567.3371040681284
 0.40875060712231015,0.4176926470571426,2.0237242306374092,5.106191657814373,-169.3600060572509,0.0,0.6284243358346256,1.5912814685508252,69.65682722420725,632.628258917552
 0.41644316590109176,0.43356227606431036,2.0629844325585096,5.103659659954993,-168.78241704168377,0.0,0.6648796409989306,1.504031614650701,75.08412118478677,705.5251856572916
 0.42389877156103106,0.4490920247495085,2.082962725435315,2.679633793422515,-168.18433786094434,0.0,0.703941553301429,1.4205724826302422,80.21872507998454,688.6903800166345
 0.4312552835855928,0.46428556396185755,2.0653183413037706,-2.398471459386456,-167.56475549860124,0.0,0.7458209478933147,1.3408043885394383,84.22229995335529,544.2218893959171
 0.43858101611417627,0.4791466382253377,2.0286127299209107,-5.01050389700173,-166.92259936535305,0.0,0.7907461713330967,1.2646283172185686,87.65760021167108,468.93607498116575
 0.44587619256455613,0.49367907076243134,1.9920604574735035,-5.0104713293814775,-166.2567383598983,0.0,0.8389642229417392,1.1919459407858966,91.27414668908533,495.74489417948473
 0.45314110384940764,0.5078867688957968,1.9556602381354207,-5.0104148434658775,-165.56597793603578,0.0,0.8907419179344253,1.122659638965838,95.08174247122295,524.1076776914078
 0.460376117672168,0.5217737298548729,1.9194104253663842,-5.0103308241097615,-164.8490572228611,0.0,0.9463669963906125,1.056672521140256,99.0904413920174,554.0692829340037
 0.4675816890529379,0.5353440470151839,1.88330896235755,-5.010215165612144,-164.10464625773437,0.0,1.0061491305027341,0.9938884502144711,103.31046988354154,585.6618814139417
 0.4747583722557243,0.5486019165987726,1.847353325898677,-5.010063206484159,-163.33134340678723,0.0,1.0704207676690978,0.9342120689395415,107.75212296494979,618.9005360698857
 0.48190683431435233,0.5615516448643756,1.8115404627451352,-5.009869655853665,-162.52767306641064,0.0,1.1395377300799903,0.8775488284444997,112.42562858770084,653.7777754741326
